片名, 票房(万元)
007：无暇赴死,41212.70
12的魔法,7039.61
1917,6889.81
1921,42706.69
1931刺杀宋子文之谜,29.64
1950他们正年轻,1069.63
2019阅兵盛典,2835.27
2024江苏无锡法国电影展,15.63
2067,76.39
21座桥,2859.09
22年后的自白,534.55
318号公路,62.61
36号护卫车,156.17
749局,37605.09
760号犯人,317.55
816,63.92
82号古宅,795.18
99万次拥抱,157.05
9号传奇,28.23
GT赛车：极速狂飙,1278.30
HELLO，北京,10.96
QQ女人心,2.15
X战警：黑凤凰,40137.02
“上海少女”的三十年,6.57
“大”人物,37351.45
“炼”爱,23.08
一丈天地,19.05
一个和四个,472.48
一个母亲的复仇,11113.08
一个秘密,2.22
一些往事,5.00
一代人师严修,8.83
一件棉袄,1.58
一切如你,154.88
一千零一夜之拯救黄金城,58.66
一吻定情,17358.39
一周的朋友,12157.67
一和多,5.50
一团乱麻,1.09
一定拿到手,698.95
一山之隔,106.99
一席之地,1.48
一日成交,73.30
一日父子,1.10
一春,18.68
一条狗的使命2,19625.65
一条狗的回家路,3632.55
一杯上路,8.09
一江春水,220.76
一江清水,19.01
一点就到家,30974.90
一片绿洲,2.08
一生交给党,308.64
一生只为一事来,605.06
一生有你2019,4183.51
一百分女人,5.95
一百零八,3003.21
一直一直都很喜欢你,2199.59
一直游到海水变蓝,673.22
一秒钟,13113.87
一竞到底,53.31
一起走过,31.11
一路向南,25.22
一路情缘,1.56
一路爱情,206.80
一路疯癫,11.74
一车四仆,28.94
一闪一闪亮星星,70050.31
一雪前耻,9380.47
七人乐队,1351.49
七号房的礼物,1701.82
七声,6.25
七月之后,4.11
七月的舞步,211.12
万湖会议,104.35
万物三生,5.97
万里归途,156487.33
三傻闹地球,482.01
三叉戟,2890.60
三只小猪3：正义大联萌,393.12
三块石,6.19
三大队,60460.94
三年,16.97
三流勇士,19.78
三湾改编,2337.74
三贵情史,474.99
三重威胁之跨国大营救,150.59
上海堡垒,12133.13
上海往事之当年情,2.95
上海的女儿,32.15
下一任：前任,12840.04
下一站：幸福,502.81
不一样的九零后,100.00
不一样的夏天,2.00
不二兄弟,72.46
不动声色,29.67
不在远方,9.79
不孤岛,276.09
不完美的幸福,10.04
不想和你有遗憾,1665.35
不曾消失的爱,122.85
不期而遇的夏天,448.16
不欺不遇,13.33
不止不休,4836.56
不死鸟之恋,404.86
不老奇事,3610.53
不能流泪的悲伤,5533.80
不能错过的只有你,5139.49
不虚此行,2697.40
不要先生与好的女士,97.33
不要再见啊，鱼花塘,100.01
不要忘记我爱你,5585.06
不要走散好不好,1626.20
不速来客,5521.21
与你相遇的日子,942.83
与孩子一同成长,14.97
与我跳舞,64.21
与父与子,11.90
与鱼共舞,5.00
丑娃娃,289.03
丑小鸭的天鹅湖,210.53
丑角儿,15.55
世上只有妈妈好,44.65
世上只有爸爸好,1.05
世界上最爱我的人,761.24
世界唯一一个你,5.96
世界欠我一个你,58.58
世间有她,5613.40
丛林历险记,11.15
丛林大冒险,111.86
丛林奇航,4487.71
东北虎,1684.39
东极日出,6.61
东江风云,1.62
丢人,13.11
两个人的山林,24.00
两只老虎,22397.68
两情若是久长时,4.70
个十百千万,204.56
中华熊猫,8.37
中国乒乓之绝地反击,4584.05
中国医生,132370.74
中国机长,284344.96
中国车手周冠宇,98.82
临时乘客,18.10
临时劫案,23645.91
临时家族,1.21
丹顶鹤,105.48
丹顶鹤女孩,2.16
为了明天升起的太阳,5.48
为国而歌,788.16
为家而战,1718.46
乌海,1493.16
乌珠穆沁恋歌,10.10
乌蒙奇缘,23.19
乌衣夜行,10.85
乐高大电影2,1841.20
乔乔的异想世界,1133.40
乔妍的心事,15157.55
乔治娅,15.90
乔西的虎与鱼,679.12
乘客,14.65
乘船而去,149.77
乜代宗师,80.04
九克拉战栗,43.76
九兰,71.28
九妹,553.09
九条命,164.42
九零后,1027.86
九龙不败,1865.49
九龙城寨之围城,60444.65
乡土,66.12
乡见未晚,28.88
书记日记,3.49
乾坤镯,4.77
了不起的夜晚,4462.64
了不起的老爸,14734.44
二凤,63.57
二十二万公里路（蟠龙梆子）,1.16
二哥来了怎么办,3021.88
二手杰作,11543.88
二月泉,5.51
二郎神之深海蛟龙,415.36
云上的云,1084.25
云上的孩子,0.83
云在江口,83.31
云崖飞车,0.72
云淡风轻,28.81
云知道,0.60
云端之上,211.21
云边有个小卖部,49931.99
云雀,3.20
云雾女孩,3.76
云雾笼罩的山峰,1.07
云霄之上,375.02
五个扑水的少年,6106.02
五十米之恋,129.50
五尺天涯,684.71
五彩缤纷,23.04
五月天人生无限公司,4926.22
井冈星火,1097.11
亡命救护车,1582.19
交换人生,39359.00
京剧搜孤救孤,3.37
京北的我们,17.56
京门烽火,3.68
亭亭如盖,5.13
亲密,122.47
亲密旅行,366.13
亲爱的新年好,6243.47
人之怒,15985.16
人民万岁,1669.75
人海同游,70.15
人潮汹涌,76130.52
人生大事,167206.31
人生路不熟,118133.19
人间·喜剧,6322.41
人间世,113.99
今世未了缘,4.14
今夜在浪漫剧场,1230.74
今夜，就算这份爱恋从世界上消失,1664.79
今年二十二,364.24
今年过年就结婚,23.01
从21世纪安全撤离,7564.05
他们已不再变老,318.15
他她他她,40.83
仙女鸟飞过的夏天,13.07
以寡敌众,47.12
以年为单位的恋爱,23199.30
以法之名,1.90
仲肯,162.10
企鹅公路,315.02
伊水栾山,1.56
会考试的猛犸象,37.52
伞少女,1910.36
伟大征程,62.24
传说,4386.45
伴我远行,5.19
似水流年,6.19
何以为家,37351.01
何以飞翔,126.71
何叔衡,36.79
何处生长,15.56
余下都是春天,20.36
余生那些年,2145.97
你咪理，我爱你！,86.04
你在我的世界里,9.90
你好世界,13604.89
你好现任,8.88
你好，李焕英,540314.62
你好，珠峰,5.48
你好，鸽先生,12.66
你就在我身边,300.37
你想活出怎样的人生,79067.35
你是凶手,4890.08
你是我的一束光,512.57
