电影名称,类型,上映日期,总票房(万),首日排片(%)
伞少女,烂片 (高开低走),2024-07-06,1910.36,11.62
我是哪吒2之英雄归来,烂片 (高开低走),2023-09-29,1751.12,100.0
最好的相遇,烂片 (高开低走),2023-10-20,1698.01,15.53
人民万岁,烂片 (高开低走),2023-12-26,1669.75,100.0
年少日记,烂片 (高开低走),2024-04-19,1497.64,12.0
航海王：强者天下,烂片 (高开低走),2024-08-23,1230.18,10.37
幸福慢车,烂片 (高开低走),2024-04-09,1181.43,23.0
机器人之梦,烂片 (高开低走),2024-06-08,1160.02,68.0
我要当老师,烂片 (高开低走),2024-04-18,1121.84,12.0
谯国夫人（粤剧）,烂片 (高开低走),2024-07-05,1111.1,72.0
奇妙萌可大电影,烂片 (高开低走),2024-09-15,1099.38,69.0
红毯先生,烂片 (高开低走),2024-03-15,1011.25,11.67
与你相遇的日子,烂片 (高开低走),2024-09-27,942.83,34.0
泳者之心,烂片 (高开低走),2024-05-31,912.19,51.0
雪豹,烂片 (高开低走),2024-04-03,833.96,54.0
我，就是风!,烂片 (高开低走),2024-05-28,828.75,34.0
靠近我一点,烂片 (高开低走),2023-11-24,718.47,15.41
白塔之光,烂片 (高开低走),2023-10-27,691.42,100.0
花千骨,烂片 (高开低走),2024-01-20,649.58,11.53
小美人鱼之大海怪传说,烂片 (高开低走),2023-09-29,643.27,70.0
绝地重生,烂片 (高开低走),2024-03-14,593.11,20.0
出发,烂片 (高开低走),2024-07-01,584.97,42.0
再见土拨鼠,烂片 (高开低走),2024-04-19,563.99,100.0
开国将帅授衔1955,烂片 (高开低走),2023-11-24,541.65,100.0
功夫王之萌虎上山,烂片 (高开低走),2023-09-29,511.73,20.0
阿莫阿依,烂片 (高开低走),2024-03-16,481.14,11.0
唤醒者,烂片 (高开低走),2024-06-21,479.24,100.0
三贵情史,烂片 (高开低走),2023-09-09,474.99,11.47
替身纸人,烂片 (高开低走),2023-10-13,453.62,100.0
加班惊魂,烂片 (高开低走),2024-08-10,433.87,100.0
替身纸人2,烂片 (高开低走),2024-05-18,385.84,100.0
傍晚向日葵,烂片 (高开低走),2023-11-30,375.19,15.0
金色面具英雄,烂片 (高开低走),2023-12-29,345.84,100.0
珍·古道尔的传奇一生,烂片 (高开低走),2023-10-17,317.68,98.0
一生交给党,烂片 (高开低走),2024-08-01,308.64,34.0
江南：在爱开始的地方等你,烂片 (高开低走),2024-09-15,304.06,62.0
地球脉动：极境生存,烂片 (高开低走),2024-07-27,275.07,66.0
天下无敌,烂片 (高开低走),2023-12-28,257.73,100.0
诡摇铃,烂片 (高开低走),2023-12-08,235.83,100.0
小行星猎人,烂片 (高开低走),2024-01-12,232.67,100.0
母亲的直觉,烂片 (高开低走),2024-05-24,206.46,100.0
永不消逝的电波（舞台纪录电影·舞剧）,烂片 (高开低走),2024-06-18,200.8,100.0
月光武士,烂片 (高开低走),2023-12-15,194.06,100.0
八十天环游地球,烂片 (高开低走),2024-07-27,186.97,40.0
老师，别哭,烂片 (高开低走),2023-09-09,186.37,13.0
金的音像店,烂片 (高开低走),2024-04-19,176.57,100.0
仲肯,烂片 (高开低走),2023-12-11,162.1,100.0
红色冲浪板,烂片 (高开低走),2024-05-17,149.88,100.0
乘船而去,烂片 (高开低走),2024-04-12,149.76,100.0
陌路惊魂,烂片 (高开低走),2024-06-14,147.74,94.0
最后的，最初的,烂片 (高开低走),2024-05-21,147.05,79.0
